ncdsid	n0sex	n7math	n7age	zn7math	n7mathage	n11math	n11age	zn11math	n11mathage	n16math	n16age	zn16math	n16mathage	x
N10001N	1	6	7.08333333333333	.354815799935878	7.35481579993588	21	11.1666666666667	.40655814781013	11.6382962920619	17	16	.587689982768109	17.345810060539	1
N10002P	0	7	7.16666666666667	.757204062625625	7.75720406262563	27	11.1666666666667	.987510847154989	12.5503920300333	25	16.0833333333333	1.73190877496948	19.9660710946801	1
N10003Q	0	2	7.08333333333333	-1.25473725082311	5.74526274917689	8	11.1666666666667	-.852172700770396	9.66208885979048	3	16.0833333333333	-1.4146929035843	12.760353250792	1
N10004R	1	8	7.08333333333333	1.15959232531537	8.15959232531537	15	11.1666666666667	-.174394551534728	10.7262005540905	16	16	.444662633742937	17.0182774312713	1
N10005S	1	6	7	.354815799935878	7.35481579993588	21	11.0833333333333	.40655814781013	11.6382962920619	-1	 	 	 	1
N10006T	0	3	7.58333333333333	-.852348988133363	6.14765101186664	1	11.1666666666667	-1.52995085000606	8.59797716549048	-1	 	 	 	1
N10009W	0	2	7.16666666666667	-1.25473725082311	5.74526274917689	9	11.0833333333333	-.755347250879587	9.81410481611905	-1	 	 	 	1
N10010P	1	8	7.08333333333333	1.15959232531537	8.15959232531537	31	11.1666666666667	1.37481264671823	13.1584558553476	-1	 	 	 	1
N10011Q	0	6	7.08333333333333	.354815799935878	7.35481579993588	28	11.5	1.0843362970458	12.7024079863619	16	16.3333333333333	.444662633742937	17.0182774312713	1
N10012R	0	4	7.16666666666667	-.449960725443616	6.55003927455638	2	11.3333333333333	-1.43312540011526	8.74999312181905	6	16	-.985610856508783	13.7429511385949	1
N10013S	0	6	7.25	.354815799935878	7.35481579993588	8	11.0833333333333	-.852172700770396	9.66208885979048	-1	 	 	 	1
N10014T	1	7	7.08333333333333	.757204062625625	7.75720406262563	20	11.25	.309732697919321	11.4862803357333	14	16.0833333333333	.158607935692593	16.363212172736	1
N10015U	0	1	7.08333333333333	-1.65712551351286	5.34287448648714	9	11.3333333333333	-.755347250879587	9.81410481611905	7	16	-.842583507483611	14.0704837678625	1
N10016V	1	3	7	-.852348988133363	6.14765101186664	18	11.1666666666667	.116081798137701	11.1822484230762	8	16.0833333333333	-.699556158458439	14.3980163971302	1
N10017W	0	3	7.08333333333333	-.852348988133363	6.14765101186664	-1	 	 	 	3	15.9166666666667	-1.4146929035843	12.760353250792	1
N10018X	0	5	7	-.047572462753869	6.95242753724613	11	11.1666666666667	-.561696351097967	10.1181367287762	-1	 	 	 	1
N10019Y	0	2	7.08333333333333	-1.25473725082311	5.74526274917689	5	11.0833333333333	-1.14264905044283	9.20604099080476	-1	 	 	 	1
N10020R	1	7	7.08333333333333	.757204062625625	7.75720406262563	10	11.25	-.658521800988777	9.96612077244762	6	15.9166666666667	-.985610856508783	13.7429511385949	1
N10021S	0	5	7.08333333333333	-.047572462753869	6.95242753724613	-1	 	 	 	14	16.0833333333333	.158607935692593	16.363212172736	1
N10022T	0	8	7.33333333333333	1.15959232531537	8.15959232531537	31	11.0833333333333	1.37481264671823	13.1584558553476	-1	 	 	 	1
N10023U	0	0	7	-2.0595137762026	4.94048622379739	-1	 	 	 	-1	 	 	 	1
N10024V	1	2	7	-1.25473725082311	5.74526274917689	14	11.0833333333333	-.271220001425538	10.5741845977619	7	16.25	-.842583507483611	14.0704837678625	1
N10026X	0	8	7.25	1.15959232531537	8.15959232531537	27	11.1666666666667	.987510847154989	12.5503920300333	11	16.1666666666667	-.270474111382923	15.3806142849331	1
N10027Y	1	3	7.16666666666667	-.852348988133363	6.14765101186664	36	11.1666666666667	1.85893989617228	13.9185356369905	28	16	2.160990822045	20.948668982483	1
N10028Z	0	4	7.33333333333333	-.449960725443616	6.55003927455638	-1	 	 	 	-1	 	 	 	1
N10030T	0	8	7.08333333333333	1.15959232531537	8.15959232531537	35	11.25	1.76211444628147	13.7665196806619	-1	 	 	 	1
N10031U	0	4	7.08333333333333	-.449960725443616	6.55003927455638	3	11.0833333333333	-1.33629995022445	8.90200907814762	9	16	-.556528809433267	14.7255490263978	1
N10033W	0	8	7	1.15959232531537	8.15959232531537	17	11.25	.0192563482468914	11.0302324667476	12	15.9166666666667	-.127446762357751	15.7081469142007	1
N10034X	0	9	7.33333333333333	1.56198058800512	8.56198058800512	16	11.1666666666667	-.0775691016439184	10.878216510419	17	16.1666666666667	.587689982768109	17.345810060539	1
N10035Y	0	4	7	-.449960725443616	6.55003927455638	22	11.1666666666667	.50338359770094	11.7903122483905	17	16	.587689982768109	17.345810060539	1
N10036Z	1	7	7	.757204062625625	7.75720406262563	8	11.0833333333333	-.852172700770396	9.66208885979048	-1	 	 	 	1
N10037A	1	9	7	1.56198058800512	8.56198058800512	35	11.25	1.76211444628147	13.7665196806619	-1	 	 	 	1
N10041W	1	6	7	.354815799935878	7.35481579993588	31	11.3333333333333	1.37481264671823	13.1584558553476	18	16	.730717331793281	17.6733426898066	1
N10042X	1	2	7	-1.25473725082311	5.74526274917689	18	11.1666666666667	.116081798137701	11.1822484230762	15	16.1666666666667	.301635284717765	16.6907448020037	1
N10043Y	0	9	7.16666666666667	1.56198058800512	8.56198058800512	29	11.0833333333333	1.18116174693661	12.8544239426905	24	16	1.58888142594431	19.6385384654125	1
N10044Z	1	6	7.08333333333333	.354815799935878	7.35481579993588	-1	 	 	 	-1	 	 	 	1
N10046B	1	4	7	-.449960725443616	6.55003927455638	8	11.1666666666667	-.852172700770396	9.66208885979048	10	16	-.413501460408095	15.0530816556655	1
N10047C	0	1	7.08333333333333	-1.65712551351286	5.34287448648714	5	11.1666666666667	-1.14264905044283	9.20604099080476	8	16	-.699556158458439	14.3980163971302	1
N10048D	0	4	7	-.449960725443616	6.55003927455638	2	11.1666666666667	-1.43312540011526	8.74999312181905	-1	 	 	 	1
N10049E	1	4	7	-.449960725443616	6.55003927455638	20	11.1666666666667	.309732697919321	11.4862803357333	21	16	1.1597993788688	18.6559405776095	1
N10050X	0	0	7.66666666666667	-2.0595137762026	4.94048622379739	4	11.25	-1.23947450033364	9.05402503447619	6	16.25	-.985610856508783	13.7429511385949	1
N10052Z	1	5	7.16666666666667	-.047572462753869	6.95242753724613	16	11.1666666666667	-.0775691016439184	10.878216510419	-1	 	 	 	1
N10053A	1	8	7	1.15959232531537	8.15959232531537	18	11.1666666666667	.116081798137701	11.1822484230762	-1	 	 	 	1
N10054B	1	6	7	.354815799935878	7.35481579993588	24	11.0833333333333	.69703449748256	12.0943441610476	11	16.25	-.270474111382923	15.3806142849331	1
N10055C	0	2	7	-1.25473725082311	5.74526274917689	-1	 	 	 	8	16	-.699556158458439	14.3980163971302	1
