bcsid	bsex	b5read	b5age	zb5read	b5readage	b10read	b10age	zb10read	b10readage	b16read	b16age	zb16read	b16readage
B10001N	1	31	5.02465753424658	-.205081237564396	4.7949187624356	46	10.027397260274	.436890091084628	10.6859174430029	 	 	 	 
B10002P	0	39	5.03013698630137	.640102044519196	5.6401020445192	23	10.5232876712329	-1.39903474635958	7.80351544821545	 	 	 	 
B10003Q	0	29	5.02465753424658	-.416377058085294	4.58362294191471	45	10.0684931506849	.357067272065314	10.5605956171425	 	 	 	 
B10004R	1	42	5.02739726027397	.957045775300543	5.95704577530054	54	10.1205479452055	1.07547264323914	11.6884920498854	47	17.0328767123288	.327650468069837	16.7503195718799
B10009W	0	34	5.60547945205479	.111862493216951	5.11186249321695	53	10.0575342465753	.995649824219823	11.5631702240251	 	 	 	 
B10010P	1	60	5.04931506849315	 	 	55	10.1068493150685	1.15529546225845	11.8138138757458	 	 	 	 
B10013S	1	29	4.96712328767123	-.416377058085294	4.58362294191471	31	10.0027397260274	-.760452194205076	8.80609005509803	46	16.2876712328767	.248399150590611	16.5688340548525
B10015U	0	19	5.02191780821918	-1.47285616068978	3.52714383931022	54	10.172602739726	1.07547264323914	11.6884920498854	54	 	.882409690424423	18.0207181910719
B10016V	0	34	5.1013698630137	.111862493216951	5.11186249321695	13	10.2821917808219	-2.19726293655272	6.55029718961223	 	 	 	 
B10017W	0	41	5.11780821917808	.851397865040094	5.85139786504009	43	10.2027397260274	.197421634026687	10.3099519654219	 	 	 	 
B10018X	0	41	4.96712328767123	.851397865040094	5.85139786504009	 	 	 	 	 	 	 	 
B10021S	1	60	5.07945205479452	 	 	 	 	 	 	 	 	 	 
B10022T	1	38	5.12328767123288	.534454134258747	5.53445413425875	41	10.1123287671233	.0377759959880598	10.0593083137013	44	 	.0898965156321579	16.2058630207976
B10025W	0	-2	5.04109589041096	 	 	34	10.2027397260274	-.520983737147135	9.182055532679	 	 	 	 
B10026X	0	41	5.06575342465753	.851397865040094	5.85139786504009	36	10.2465753424658	-.361338099108508	9.43269918439964	34	16.1150684931507	-.702616659160108	14.3910078505234
B10028Z	0	48	5.06575342465753	1.59093323686324	6.59093323686324	44	10.1780821917808	.277244453046	10.4352737912822	41	16.1041095890411	-.147857436805522	15.6614064697154
B10030T	0	60	5.08493150684932	 	 	54	10.0465753424658	1.07547264323914	11.6884920498854	 	 	 	 
B10031U	0	38	5.03013698630137	.534454134258747	5.53445413425875	35	10.0547945205479	-.441160918127822	9.30737735853932	 	 	 	 
B10032V	1	42	5.0958904109589	.957045775300543	5.95704577530054	43	10.041095890411	.197421634026687	10.3099519654219	 	16.8657534246575	 	 
B10034X	0	27	5.06849315068493	-.627672878606192	4.37232712139381	21	 	-1.55868038439821	7.55287179649481	 	 	 	 
B10037A	1	39	4.97534246575342	.640102044519196	5.6401020445192	 	10.0904109589041	 	 	41	16.2027397260274	-.147857436805522	15.6614064697154
B10038B	0	60	5.16164383561644	 	 	41	10.2712328767123	.0377759959880598	10.0593083137013	 	 	 	 
B10039C	1	44	5.02465753424658	1.16834159582144	6.16834159582144	54	10.0246575342466	1.07547264323914	11.6884920498854	 	 	 	 
B10040V	1	60	5.14246575342466	 	 	53	10.0438356164384	.995649824219823	11.5631702240251	 	 	 	 
B10042X	0	31	5.12602739726027	-.205081237564396	4.7949187624356	36	 	-.361338099108508	9.43269918439964	 	 	 	 
B10051Y	0	33	5.06849315068493	.00621458295650186	5.0062145829565	45	10.1232876712329	.357067272065314	10.5605956171425	44	16.0328767123288	.0898965156321579	16.2058630207976
B10053A	0	36	5.02739726027397	.323158313737849	5.32315831373785	49	10.0438356164384	.676358548142568	11.0618829205838	44	16.1123287671233	.0898965156321579	16.2058630207976
B10054B	0	17	5.00821917808219	-1.68415198121068	3.31584801878932	18	10.0547945205479	-1.79814884145615	7.17690631891384	 	 	 	 
B10055C	0	30	5.16438356164384	-.310729147824845	4.68927085217515	15	10.0465753424658	-2.03761729851409	6.80094084133287	 	 	 	 
B10056D	0	-2	5.08493150684932	 	 	25	10.1945205479452	-1.23938910832096	8.0541590999361	 	 	 	 
B10058F	1	16	5.07123287671233	-1.78979989147113	3.21020010852887	49	 	.676358548142568	11.0618829205838	68	16.8630136986301	1.99192813513359	20.5615154294559
B10061A	1	60	5.02465753424658	 	 	47	10.1150684931507	.516712910103941	10.8112392688632	36	16.1041095890411	-.544114024201654	14.7539788845782
B10062B	1	9	5.03013698630137	-2.52933526329427	2.47066473670573	19	11.2986301369863	-1.71832602243684	7.30222814477416	 	 	 	 
B10063C	0	36	5.02739726027397	.323158313737849	5.32315831373785	 	 	 	 	 	 	 	 
B10064D	0	48	5.04109589041096	1.59093323686324	6.59093323686324	36	9.96712328767123	-.361338099108508	9.43269918439964	45	16.1890410958904	.169147833111384	16.3873485378251
B10065E	1	11	5.06849315068493	-2.31803944277338	2.68196055722662	16	10.1287671232877	-1.95779447949478	6.9262626671932	46	16.2821917808219	.248399150590611	16.5688340548525
B10066F	0	40	5.04383561643836	.745749954779645	5.74574995477964	 	 	 	 	 	16.1945205479452	 	 
